cluster_id,size,top_tags,sample_names,avg_name_length
-1,824,"['defi', 'dex', 'space poggers', 'numerai', 'volume']","['example: dai daily transfer volume', 'bloom attestations', 'compound weekly suppliers']",28.20752427184466
0,25,"['idle_v4', 'hegic', 'hedge contract']","['dai turnover (eth put hedge contracts) on hegic', 'b2b cumulative rewards', 'idle token holders']",28.0
1,21,"['nft', 'london']","[""proof of beauty's $london gift average (1000 sales ma) secondary price"", ""proof of beauty's $london gift: hourly floor tracker"", ""proof of beauty's $london gift sales scatter""]",52.142857142857146
2,31,"['nft collection', 'parametered', 'cryptopunksvsopensea', 'opensea', 'top100 opensea']","['ens names recently out of premium', 'new query', 'unnamed query']",13.516129032258064
3,25,['defi'],"['__ archive __', '[snowswap] historic ydai/yusdc/yusdt/ytusd pool deposits and withdrawals', '[snowswap] ydai/yusdc/yusdt/ytusd pool value']",50.96
4,26,[],"['fractional pool pricing', 'amount of pickles burned per day', 'amount of pickles burned per pjar']",25.384615384615383
5,102,[],"['clipper', 'adasd', '97']",2.303921568627451
6,304,[],"['copy of (#66) new query', 'new query', 'new query']",10.37171052631579
7,26,['balancer'],"['balancer liquidity provided per day', 'liquidity provided per week', 'delta liquidity per day']",20.807692307692307
8,17,[],"['badgerdao_slpwbtcdigg_composition_per_epoch', 'wip-treasury2', 'badgerdao-addresses']",30.294117647058822
9,23,[],"['curve.fi total unique user - polygon', 'curve.fi/frax trading volume', 'curve.fi/busdv2 trading volume']",31.26086956521739
10,49,[],"['curve', 'curve.fi daily volume', 'curve.fi hourly volume']",30.693877551020407
11,31,"['ens', 'opyn']","['new query', 'new query', 'number of ens domains registered']",28.741935483870968
12,120,"['gnosis safe', 'safe', 'dunev2', 'argent']","['num multisig txs over time', 'safe thresholds', 'gnosis safe txs over time']",50.35
13,17,"['mstable', 'defi']","['mta unique addresses', 'mta sold', 'current mta $ price']",23.352941176470587
14,31,['chainlink'],"['pendlehodlers', 'musd unique addresses - polygon', 'chainlink reference data reads']",23.838709677419356
15,45,"['erc20', 'transfer', 'token']","['new query', 'new query', 'new query']",15.155555555555555
16,70,"['prod', 'liquity', 'lqty', 'testing']","['exchange hot/cold wallet outward activity (upbit3 5e032243d507c743b061ef021e2ec7fcc6d3ab89)', 'exchange hot/cold wallet outward activity (upbit2 ba826fec90cefdf6706858e5fbafcb27a290fbe0)', 'exchange hot/cold wallet outward activity (upbit1 390de26d772d2e2005c6d1d24afc902bae37a4bb)']",29.771428571428572
17,15,[],"['usdt frozen', 'opensea fees burned', 'dydx fees burned']",19.733333333333334
18,41,"['qidao', 'mai finance', 'camaave', 'camwmatic', 'makerdao']","['vaults created', 'number of vault creators', 'vaults created per day']",28.024390243902438
19,38,[],"['orders placed dfusion', 'basketdao supply breakdown', 'supply tbtc']",20.55263157894737
20,30,['tbtc'],"['test_for_synthetix_tianq', 'new query', 'mykey_test']",15.633333333333333
21,15,['opyn'],"['opyn cusdc uniswap liquidity', 'opyn cdai uniswap liquidity', 'copy of (#1827) opyn cdai uniswap liquidity']",39.266666666666666
22,27,['opyn'],"['opyn new vaults per day', 'opyn collateral liquidations', 'opyn total collateral']",32.77777777777778
23,41,"['gas', 'ethereum', 'eth', 'gwei', 'hour']","['avg gas limit for recent 50 blocks', 'ethereum recent gas prices', 'ethereum blocks filled avg per hour (14 days)']",45.65853658536585
24,19,['nft'],"['ready player cat nft average (1000 sales ma) secondary price', 'ready player cat nft sales scatter', 'ready player cat nft minimum weth (bots) sales per day']",42.21052631578947
25,17,['nft'],"['fluf - daily floor', 'fluf: holders', 'fluf: current floor']",29.58823529411765
